,ID,Num_Rooms,has_isolated,has_adjacent,Time_to_subway,Square_m2,Flat_floor,Max_floors,HouseType,Parking,rent,commsumm,deposit,comminc,renttime,prepayment,Renovation
0,271271157,4,0,0,9,200.0,5,16,106839.39,167618.14,3.24553243346182,0.0,-4.529392162997688e-05,1,1,1,173624.09
1,271634126,4,0,0,8,198.0,5,16,151494.07,167618.14,3.24553243346182,0.0,-4.529392162997688e-05,1,1,1,173624.09
2,271173086,4,1,1,7,200.0,5,16,124970.37,167618.14,3.24553243346182,0.0,-4.529392162997688e-05,0,1,1,84298.8
3,272197456,4,1,1,3,170.0,5,6,124970.37,167618.14,2.465348865880476,0.0,-0.0016083811131076624,0,1,1,84298.8
4,273614615,2,0,0,7,58.0,12,26,45290.64,75981.08,1.1000276226131236,0.0,-0.004343783698193612,1,1,1,84298.8
5,274837728,3,0,0,5,92.0,3,7,124970.37,75981.08,3.0114773631874168,0.0,-0.0005142200790732826,0,1,2,173624.09
6,273643908,5,1,1,4,213.0,4,5,124970.37,64696.19,2.075257082089804,0.0,-0.0023899247088465052,0,1,1,84298.8
7,274475342,3,0,0,3,98.0,2,4,106839.39,167618.14,1.2950735145084595,0.0,-0.00395301190032419,1,1,1,84298.8
8,273973191,3,0,0,9,120.0,5,10,112720.27,75583.96,0.35885323341084674,0.0,-0.005828716530097413,1,1,1,84298.8
9,272900409,4,0,0,10,90.0,2,7,112720.27,75583.96,0.983000087475922,0.0,-0.004578246776915265,1,1,1,84298.8
10,271036964,4,1,1,5,170.0,6,7,124970.37,167618.14,1.6071469415409974,0.0,-0.0033277770237331162,0,1,1,84298.8
11,273999490,3,1,0,2,80.0,4,8,77524.52,75981.08,0.1247981631364435,0.0,-0.006141333968392951,1,1,1,84298.8
12,274017037,3,0,0,8,100.0,2,4,77524.52,75981.08,0.9049817307177876,0.0,-0.004734555496063033,1,1,1,173624.09
13,273231024,5,0,0,9,180.0,6,8,106839.39,75981.08,3.24553243346182,0.0,-4.529392162997688e-05,1,1,1,173624.09
14,274839211,5,1,1,5,222.2,5,9,106839.39,167618.14,2.8554406496711477,0.0,-0.0008268375173688196,0,1,1,84298.8
15,274767901,5,0,0,6,225.0,5,9,106839.39,75981.08,2.8554406496711477,0.0,-0.0008268375173688196,1,1,1,173624.09
16,274995950,2,0,0,10,30.0,19,26,124970.37,75981.08,0.28083487665271234,0.0,-0.0059850252492451815,1,1,1,84298.8
17,274945807,5,0,0,5,222.0,5,9,124970.37,75981.08,2.8554406496711477,0.0,-0.0008268375173688196,0,1,1,173624.09
18,272911145,5,1,0,12,150.0,4,7,77524.52,64696.19,0.7489450172015188,0.0,-0.0050471729343585705,0,1,1,84298.8
19,274748017,5,1,1,6,201.0,3,3,124970.37,75981.08,0.8269633739596532,0.0,-0.004890864215210802,0,1,1,84298.8
20,273941734,2,1,1,9,64.0,12,26,124970.37,75981.08,0.9439909090968549,0.0,-0.004656401136489149,1,1,1,84298.8
21,274493570,3,1,1,5,112.0,2,7,124970.37,167618.14,1.1390368009921907,0.0,-0.004265629338619728,0,1,1,84298.8
22,274849101,4,0,0,5,190.0,4,5,124970.37,75981.08,3.9476976442850296,0.0,0.0013614845506999401,0,1,1,173624.09
23,223918678,5,0,0,8,255.6,8,9,106839.39,75981.08,5.976174919996525,0.0,0.005425511248541922,1,1,1,84298.8
24,274391259,5,0,0,5,186.0,3,3,268371.43,75583.96,0.8269633739596532,0.0,-0.004890864215210802,1,1,1,84298.8
25,272945376,3,1,1,5,100.0,3,8,124970.37,64696.19,0.9049817307177876,0.0,-0.004734555496063033,0,1,1,84298.8
26,272612966,5,0,0,11,150.0,4,7,124970.37,75981.08,0.9049817307177876,0.0,-0.004734555496063033,0,1,1,84298.8
27,271568490,5,0,0,7,140.0,2,7,124970.37,75981.08,1.6851652982991316,0.0,-0.003171468304585348,0,1,1,173624.09
28,264664760,3,0,0,15,132.8,5,13,106839.39,75981.08,2.465348865880476,0.0,-0.0016083811131076624,1,1,1,84298.8
29,228923308,5,0,0,10,256.0,8,10,151494.07,167618.14,5.19599135241518,0.0,0.0038624240570642367,1,1,3,173624.09
30,267489303,6,0,0,5,380.0,3,6,268371.43,75583.96,6.132211633512793,0.0,0.00573812868683746,1,1,1,44493.82
31,273353104,3,0,0,7,112.0,3,13,151494.07,167618.14,2.075257082089804,0.0,-0.0023899247088465052,0,1,1,93854.1
32,273353103,2,0,0,7,91.0,10,13,151494.07,167618.14,2.465348865880476,0.0,-0.0016083811131076624,0,1,1,93854.1
33,268321690,3,0,0,11,135.0,5,13,151494.07,167618.14,2.465348865880476,0.0,-0.0016083811131076624,1,1,1,173624.09
